# Matched-pair tests of symmetry
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('sym_mar_REV_laumer.symtest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    Name:    Partition name
#    SymSig:  Number of significant sequence pairs by test of symmetry
#    SymNon:  Number of non-significant sequence pairs by test of symmetry
#    SymPval: P-value for maximum test of symmetry
#    MarSig:  Number of significant sequence pairs by test of marginal symmetry
#    MarNon:  Number of non-significant sequence pairs by test of marginal symmetry
#    MarPval: P-value for maximum test of marginal symmetry
#    IntSig:  Number of significant sequence pairs by test of internal symmetry
#    IntNon:  Number of non-significant sequence pairs by test of internal symmetry
#    IntPval: P-value for maximum test of internal symmetry
Name,SymSig,SymNon,SymPval,MarSig,MarNon,MarPval,IntSig,IntNon,IntPval
gene_0019,7,588,0.541745,55,425,0.0641254,1,479,0.846806
gene_0020,43,777,0.204045,173,367,0.0119927,0,540,0.583995
gene_0021,28,602,0.0381371,141,355,6.75899e-08,0,496,0.93893
gene_0022,9,426,0.316198,74,319,0.0293169,0,393,0.661076
gene_0023,24,537,0.375128,154,390,0.23183,0,544,0.526568
gene_0024,23,1058,0.512289,93,553,nan,7,639,nan
gene_0025,1,860,0.345377,8,550,0.353203,3,555,0.376337
gene_0026,10,1024,0.0647245,152,619,0.000136606,0,771,0.733703
gene_0027,11,892,0.093211,88,349,1.22363e-05,1,436,0.968167
gene_0028,0,946,0.115255,37,155,0.0240905,4,188,0.374901
gene_0029,3,525,0.477634,29,312,nan,3,338,nan
gene_0030,2,592,0.602298,29,118,nan,0,147,nan
gene_0031,24,504,0.542808,136,302,0.818996,5,433,0.324261
gene_0032,50,1072,0.367879,232,457,nan,1,688,nan
gene_0033,1,819,0.590097,17,122,0.385799,0,139,0.640191
gene_0034,5,941,0.50581,132,776,0.932959,1,907,0.263462
gene_0035,37,704,0.0675562,61,183,nan,2,242,nan
gene_0036,8,695,0.589106,65,421,0.091202,1,485,0.800866
gene_0037,0,378,0.303247,1,237,0.160629,0,238,0.467696
gene_0038,1,702,0.340839,31,620,0.533699,0,651,0.300818
gene_0039,12,768,0.779962,40,520,0.8216,8,552,0.637038
gene_0040,12,1164,0.163138,128,691,nan,4,815,nan
gene_0041,0,861,0.405537,1,241,0.440654,0,242,0.396805
gene_0042,26,502,0.673425,139,295,0.603934,0,434,0.630469
gene_0043,2,778,0.858854,17,632,0.898275,3,646,0.733922
gene_0044,6,1170,0.20833,50,1047,nan,16,1081,nan
gene_0045,1,594,0.253437,20,466,0.234277,2,484,0.333826
gene_0046,44,551,0.625728,129,310,0.781328,4,435,0.499561
gene_0047,6,697,0.37801,56,429,nan,1,484,nan
gene_0048,3,700,0.191305,40,159,nan,1,198,nan
gene_0049,17,844,0.193735,146,545,0.000367404,7,684,0.875947
gene_0050,1,560,0.354943,52,245,0.0913396,0,297,0.566372
gene_0051,0,703,0.517653,75,483,0.648338,2,556,0.392765
gene_0052,11,850,0.401571,42,600,0.813794,4,638,0.237219
gene_0053,18,843,0.0183585,134,695,0.00109797,2,827,0.200298
gene_0054,12,618,0.139592,120,386,nan,0,506,nan
gene_0055,2,628,0.136046,119,453,0.000919698,2,570,0.642892
gene_0056,1,860,0.453169,50,550,0.65415,1,599,0.350346
gene_0057,39,781,0.0029801,81,334,3.14118e-08,0,415,0.69387
gene_0058,0,860,0.266745,49,432,0.00355726,1,480,0.899361
gene_0059,10,396,0.561493,57,263,0.0485731,2,318,0.853476
gene_0060,11,935,0.0537325,66,692,0.334925,6,752,0.0530529
gene_0061,11,850,0.249608,88,405,0.310386,5,488,0.284524
gene_0062,15,688,0.0590462,62,135,3.05799e-05,0,197,0.733594
gene_0063,4,662,0.544405,69,521,0.194134,5,585,0.677966
gene_0064,5,775,0.0116971,29,502,0.0169562,2,529,0.0710152
gene_0065,8,622,0.373391,74,480,0.00455432,0,554,0.901921
gene_0066,0,406,0.424824,27,364,0.0829004,1,390,0.696298
gene_0067,1,859,0.112049,49,182,0.0010105,1,230,0.691398
gene_0068,9,657,0.463945,127,479,0.392266,0,606,0.501775
gene_0069,6,897,0.339237,50,216,nan,0,266,nan
gene_0070,3,858,0.723773,67,762,0.658731,2,827,0.656599
gene_0071,0,861,0.649183,55,513,0.663738,1,567,0.541552
gene_0072,1,665,0.438411,58,568,0.148355,0,626,0.638955
gene_0073,14,1162,0.0865044,107,862,0.00109524,4,965,0.547094
gene_0074,1,779,0.52535,8,388,0.255942,2,394,0.6323
gene_0075,19,842,0.463868,170,590,0.240458,1,759,0.571863
gene_0076,5,1123,0.386896,26,572,0.0571636,0,598,0.675539
gene_0077,1,740,0.719174,37,614,0.0106563,1,650,0.993948
gene_0078,0,820,0.500073,29,340,nan,0,369,nan
gene_0079,2,901,0.457088,38,458,nan,2,494,nan
gene_0080,2,944,0.163273,78,348,0.0110612,2,424,0.639524
gene_0081,2,494,0.571217,6,177,0.528739,1,182,0.546125
gene_0082,0,780,0.637924,23,531,0.420234,2,552,0.664962
gene_0083,0,861,0.614233,22,548,0.125823,1,569,0.847074
gene_0084,3,858,0.533234,86,455,0.71218,0,541,0.413255
gene_0085,2,988,0.411497,31,490,0.213289,1,520,0.576213
gene_0086,4,737,0.114498,96,585,0.0167124,5,676,0.373484
gene_0087,1,665,0.141777,52,421,0.0132756,4,469,0.597918
gene_0088,1,945,0.178391,78,180,0.000926325,1,257,0.880241
gene_0089,2,593,0.593731,3,94,0.140816,1,96,0.801104
gene_0090,1,665,0.241756,70,417,0.129062,0,487,0.406494
gene_0091,20,926,0.830795,89,279,0.037913,0,368,0.981412
gene_0092,8,895,0.362315,41,131,nan,1,171,nan
gene_0093,4,524,0.143483,107,357,0.0867845,0,464,0.294634
gene_0094,0,946,0.322751,103,673,0.658446,0,776,0.218204
gene_0095,8,938,0.169556,74,780,0.0215274,5,849,0.452727
gene_0096,6,522,0.722324,50,420,0.16291,0,470,0.86687
gene_0097,10,770,0.493535,89,459,0.197443,1,547,0.678313
gene_0098,0,903,0.352111,3,525,0.33933,2,526,0.399784
gene_0099,16,930,0.74901,222,623,0.241125,1,844,0.848718
gene_0100,1,779,0.814786,21,483,0.696294,1,503,0.750477
gene_0101,0,741,0.615508,10,332,0.666827,2,340,0.529596
gene_0102,0,595,0.432547,18,475,0.533906,1,492,0.386582
gene_0103,5,460,0.204464,59,327,0.00686938,3,383,0.736738
gene_0104,12,549,0.0120257,35,398,3.08399e-06,0,433,0.720938
gene_0105,2,701,0.500056,49,332,nan,2,379,nan
gene_0106,0,820,0.467635,41,547,0.312304,1,587,0.537576
gene_0107,6,624,0.420521,36,274,0.21709,2,308,0.546904
gene_0108,3,627,0.240437,36,554,0.59035,4,586,0.185136
gene_0109,0,630,0.159554,33,512,0.388557,2,543,0.153498
gene_0110,4,857,0.332275,48,501,0.194628,4,545,0.465623
gene_0111,7,773,0.11617,56,565,0.0147721,1,620,0.492693
gene_0112,3,858,0.583021,54,407,0.743337,2,459,0.432541
gene_0113,8,695,0.184047,7,116,nan,0,123,nan
gene_0114,1,779,0.74597,82,354,0.115792,1,435,0.912005
gene_0115,0,780,0.211336,32,301,0.0159331,0,333,0.726051
gene_0116,2,859,0.292421,43,731,nan,3,771,nan
gene_0117,0,741,0.429641,48,343,0.101108,0,391,0.756914
gene_0118,1,779,0.810476,33,639,0.400733,3,669,0.855987
gene_0119,2,701,0.382095,13,240,0.574576,2,251,0.304932
gene_0120,5,736,0.275332,20,227,0.168661,3,244,0.403461
gene_0121,0,595,0.455084,14,510,0.320922,1,523,0.525273
gene_0122,1,779,0.770021,5,409,0.365122,1,413,0.853979
gene_0123,4,524,0.391358,43,223,0.590514,0,266,0.329297
gene_0124,3,558,0.307754,41,442,nan,3,480,nan
gene_0125,0,666,0.593613,31,262,0.679271,0,293,0.472636
gene_0126,0,1035,0.640539,47,371,0.664385,0,418,0.553567
gene_0127,8,982,0.375569,71,654,nan,2,723,nan
gene_0128,0,1035,0.496886,47,813,0.361379,3,857,0.555561
gene_0129,0,990,0.216047,3,178,nan,0,181,nan
gene_0130,2,858,0.334309,9,113,nan,0,122,nan
gene_0131,0,946,0.237714,18,604,0.0322194,2,620,0.864503
gene_0132,3,525,0.149738,51,426,0.00362698,0,477,0.620199
gene_0133,2,526,0.773262,45,409,0.523657,1,453,0.771885
gene_0134,0,629,0.447812,34,421,nan,0,455,nan
gene_0135,0,595,0.339172,69,304,0.250797,1,372,0.438672
gene_0136,30,435,0.000238814,39,80,7.11298e-12,0,119,0.992231
gene_0137,32,709,0.0303397,98,427,5.684e-07,2,523,0.844946
gene_0138,4,816,0.325034,79,378,0.000255556,3,454,0.981868
gene_0139,1,819,0.482956,0,153,nan,0,153,nan
gene_0140,0,406,0.489417,63,315,0.262793,0,378,0.614458
gene_0141,5,736,0.181986,122,316,nan,1,437,nan
gene_0142,2,701,0.306876,92,404,0.0898205,0,496,0.525473
gene_0143,0,630,0.4096,6,460,0.13272,1,465,0.673858
gene_0144,3,558,0.237926,58,342,5.27906e-05,2,398,0.982908
gene_0145,2,404,0.132338,47,298,0.01534,0,345,0.463185
gene_0146,0,666,0.462221,26,476,0.0878533,0,502,0.746292
gene_0147,12,618,0.27006,1,34,nan,0,35,nan
gene_0148,2,817,0.469335,44,395,0.143697,0,439,0.703343
gene_0149,0,528,0.348735,8,50,0.77377,0,58,0.170299
gene_0150,1,779,0.319933,26,210,0.36398,0,236,0.343902
gene_0151,5,769,0.317311,46,490,nan,0,536,nan
gene_0152,1,594,0.200053,42,250,0.000278419,0,292,0.955736
gene_0153,1,324,0.227983,33,267,0.0010962,3,297,0.901452
gene_0154,1,629,0.29932,4,168,0.00731127,1,171,0.885234
gene_0155,4,737,0.212125,74,250,0.00136386,2,322,0.939861
gene_0156,8,733,0.388841,66,236,nan,0,302,nan
gene_0157,1,902,0.407923,37,284,0.0415821,0,321,0.772797
gene_0158,2,433,0.517903,54,323,0.397828,3,374,0.558157
gene_0159,2,463,0.542146,141,305,0.908077,0,446,0.245407
gene_0160,3,627,0.535324,70,473,0.0728451,1,542,0.846399
gene_0161,1,740,0.468503,40,324,0.0388571,0,364,0.861401
gene_0162,0,378,0.759611,7,100,0.804902,0,107,0.617908
gene_0163,24,966,0.020812,74,200,1.03926e-06,0,274,0.902591
gene_0164,0,990,0.260439,29,590,0.131005,0,619,0.471665
gene_0165,2,628,0.33814,16,312,0.453077,0,328,0.322987
gene_0166,2,559,0.565473,13,51,0.711055,0,64,0.442283
gene_0167,2,628,0.147961,42,424,6.25965e-05,2,464,0.921326
gene_0168,2,701,0.127179,80,343,0.0215608,0,423,0.44847
gene_0169,0,741,0.290696,7,125,nan,1,131,nan
gene_0170,1,819,0.268969,88,556,0.00788751,0,644,0.780477
gene_0171,5,775,0.0705891,49,469,0.000863636,1,517,0.57881
gene_0172,1,779,0.637642,44,478,0.370692,2,520,0.716455
gene_0173,3,738,0.435411,52,452,0.217734,0,504,0.593932
gene_0174,0,780,0.447725,42,401,nan,0,443,nan
gene_0175,0,780,0.213826,26,212,0.0706691,2,236,0.44406
gene_0176,2,739,0.448102,6,92,nan,0,98,nan
gene_0177,1,495,0.115619,37,436,0.455343,1,472,0.0879114
gene_0178,0,820,0.515506,13,260,0.245068,0,273,0.655353
gene_0179,3,858,0.17105,66,450,nan,0,516,nan
gene_0180,0,630,0.284796,28,482,0.888178,2,508,0.118949
gene_0181,0,703,0.691452,40,327,0.0246653,0,367,0.967963
gene_0182,0,561,0.432711,15,393,0.796088,1,407,0.243747
gene_0183,0,630,0.622106,26,389,0.180699,3,412,0.816952
gene_0184,5,775,0.369041,63,348,nan,2,409,nan
gene_0185,0,741,0.511275,19,370,0.459954,2,387,0.511305
gene_0186,1,560,0.235764,58,401,0.250016,1,458,0.299642
gene_0187,0,528,0.476488,71,309,0.409863,1,379,0.503542
gene_0188,1,434,0.661317,26,391,0.229409,3,414,0.784908
gene_0189,0,465,0.321318,3,97,0.12417,0,100,0.61145
gene_0190,1,740,0.764595,37,371,0.597048,1,407,0.735879
gene_0191,0,778,0.388841,8,217,nan,0,225,nan
gene_0192,0,861,0.420899,21,447,0.174154,5,463,0.603256
gene_0193,0,528,0.678819,17,382,0.61758,0,399,0.621366
gene_0194,4,899,0.591023,59,676,0.0599874,2,733,0.848028
gene_0195,0,741,0.632687,7,536,0.758338,5,538,0.408934
gene_0196,0,741,0.649257,34,609,0.725207,2,641,0.521259
gene_0197,16,687,0.662014,120,462,0.407126,2,580,0.707074
gene_0198,0,561,0.196916,6,80,0.120603,1,85,0.350485
gene_0199,1,629,0.619596,0,92,nan,0,92,nan
gene_0200,1,377,0.273569,21,162,0.110477,2,181,0.463124
gene_0201,0,378,0.487647,37,101,nan,0,138,nan
gene_0202,0,435,0.924824,29,255,0.967579,0,284,0.765546
gene_0203,0,820,0.372638,40,270,0.416107,0,310,0.375413
gene_0204,0,435,0.515553,4,119,nan,0,123,nan
gene_0205,10,656,0.646284,85,466,nan,0,551,nan
gene_0206,1,945,0.48479,9,331,0.163945,1,339,0.70363
gene_0207,0,561,0.484048,48,354,0.927085,0,402,0.210734
gene_0208,0,741,0.167341,36,3,0.0230467,0,39,0.54133
gene_0209,1,1033,0.540847,0,19,nan,0,19,nan
gene_0210,1,860,0.102174,34,277,0.00666521,1,310,0.540192
gene_0211,0,703,0.772223,18,390,0.067796,2,406,0.980058
gene_0212,1,594,0.0529514,61,394,0.00124577,1,454,0.483156
gene_0213,0,741,0.231452,27,202,0.0430561,3,226,0.656465
gene_0214,0,946,0.52,1,307,0.958088,3,305,0.213649
gene_0215,2,433,0.320942,53,167,0.00414719,1,219,0.921263
gene_0216,17,763,0.397504,80,369,nan,1,448,nan
gene_0217,1,629,0.54429,34,140,nan,1,173,nan
gene_0218,1,464,0.159772,42,271,0.0155442,0,313,0.624592
gene_0219,7,813,0.591259,42,73,nan,0,115,nan
gene_0220,0,1034,0.535664,7,315,0.761343,3,319,0.353787
gene_0221,0,779,0.190418,17,364,0.108095,0,381,0.369421
gene_0222,0,528,0.53519,7,84,0.258578,1,90,0.663551
gene_0223,0,861,0.559836,1,107,nan,1,107,nan
gene_0224,0,946,0.265501,20,633,0.0250403,1,652,0.700886
gene_0225,2,901,0.301389,53,346,0.00216474,0,399,0.941694
gene_0226,5,985,0.266492,113,615,0.0216368,0,728,0.669595
gene_0227,0,528,0.744891,5,302,0.324552,0,307,0.826393
gene_0228,0,630,0.0549083,10,120,nan,0,130,nan
gene_0229,0,435,0.463647,3,125,nan,0,128,nan
gene_0230,6,697,0.447106,36,424,0.71272,0,460,0.303197
gene_0231,0,703,0.66986,4,363,0.135309,0,367,0.887959
gene_0232,0,666,0.44859,3,84,nan,3,84,nan
gene_0233,1,665,0.374923,48,204,0.000462244,0,252,0.962295
gene_0234,0,665,0.481848,32,83,0.0540474,0,115,0.824128
gene_0235,2,739,0.0654017,61,398,nan,2,457,nan
gene_0236,0,703,0.621165,5,133,nan,0,138,nan
gene_0237,0,780,0.243514,64,424,0.00311028,3,485,0.834495
gene_0238,0,666,0.532434,3,103,0.419236,0,106,0.593462
gene_0239,0,629,0.438734,35,88,nan,0,123,nan
gene_0240,0,780,0.387653,7,130,0.00683679,1,136,0.942913
gene_0241,1,702,0.444951,12,136,0.0923827,0,148,0.771372
gene_0242,0,903,0.225265,34,569,0.00355657,2,601,0.901611
gene_0243,0,903,0.684478,20,164,0.0354596,0,184,0.958153
gene_0244,0,561,0.332583,32,1,0.0543037,0,33,0.718993
gene_0245,0,595,0.303533,19,260,nan,1,278,nan
gene_0246,0,861,0.634668,17,529,0.905877,1,545,0.339313
gene_0247,1,594,0.771681,1,67,nan,0,68,nan
gene_0248,3,375,0.126608,74,234,0.0018485,1,307,0.709137
gene_0249,0,465,0.281773,23,250,0.0160843,0,273,0.754705
gene_0250,0,561,0.301805,19,319,0.0914493,1,337,0.55533
gene_0251,0,741,0.360058,14,216,0.0166405,0,230,0.880945
gene_0252,2,738,0.286149,24,514,0.331471,2,536,0.320761
gene_0253,0,741,0.421229,49,62,nan,0,111,nan
gene_0254,0,595,0.397333,1,138,0.151983,1,138,0.605872
gene_0255,38,700,0.0040673,33,115,nan,0,148,nan
gene_0256,0,780,0.29228,20,280,0.31855,6,294,0.339958
gene_0257,0,703,0.25746,7,291,0.00321431,0,298,0.94267
gene_0258,2,463,0.346418,22,248,0.133387,0,270,0.552288
gene_0259,0,990,0.36666,37,618,0.171781,2,653,0.568995
gene_0260,0,630,0.300064,35,239,0.0089803,1,273,0.846297
gene_0261,0,434,0.453535,20,60,0.0230959,0,80,0.933373
gene_0262,6,814,0.280691,0,0,nan,0,0,nan
gene_0263,0,820,0.367527,0,62,nan,0,62,nan
gene_0264,0,703,0.346385,16,480,0.150772,0,496,0.537597
gene_0265,0,903,0.297521,3,112,0.65964,0,115,0.161313
gene_0266,9,852,0.663592,74,413,0.0742692,1,486,0.953681
gene_0267,0,253,0.390948,7,105,0.0334372,0,112,0.839697
gene_0268,0,946,0.448102,31,452,nan,0,483,nan
gene_0269,1,702,0.238011,35,432,0.296823,1,466,0.282043
gene_0270,0,741,0.539284,8,144,nan,0,152,nan
gene_0271,0,595,0.327211,0,4,nan,0,4,nan
gene_0272,3,1032,0.477519,68,162,0.273345,1,229,0.602408
gene_0273,0,465,0.473398,0,77,nan,0,77,nan
gene_0274,0,903,0.358526,57,104,nan,0,161,nan
gene_0275,0,461,0.454366,0,0,nan,0,0,nan
gene_0276,0,780,0.540902,0,76,nan,0,76,nan
gene_0277,0,378,0.431227,4,70,nan,0,74,nan
gene_0278,0,1035,0.378463,0,14,nan,0,14,nan
gene_0279,0,861,0.334699,24,102,0.0408381,1,125,0.777356
gene_0280,0,595,0.511614,1,137,0.00315181,0,138,0.996249
gene_0281,0,561,0.756877,0,21,nan,0,21,nan
gene_0282,0,561,0.121836,26,138,0.00657988,0,164,0.743494
gene_0283,0,629,0.414261,0,0,nan,0,0,nan
gene_0284,0,595,0.634499,3,261,0.49053,0,264,0.642359
gene_0285,2,323,0.0439242,7,43,nan,0,50,nan
gene_0286,0,630,0.56141,3,75,nan,0,78,nan
gene_0287,0,560,0.454953,0,0,nan,0,0,nan
gene_0288,0,351,0.262534,0,41,0.357702,0,41,0.275235
gene_0289,0,231,0.367476,0,18,nan,0,18,nan
gene_0290,0,378,0.500046,30,32,nan,0,62,nan
gene_0291,0,703,0.513097,1,12,nan,0,13,nan
gene_0292,0,780,0.34401,0,33,nan,0,33,nan
gene_0293,0,528,0.761158,15,323,0.22279,1,337,0.907649
gene_0294,2,526,0.113804,91,231,nan,0,322,nan
gene_0295,0,78,0.519374,0,0,nan,0,0,nan
gene_0296,0,465,0.500069,13,71,0.666015,0,84,0.343859
gene_0297,0,666,0.456059,2,93,nan,0,95,nan
gene_0298,0,276,0.376902,0,28,nan,0,28,nan
gene_0299,0,210,0.148083,0,0,nan,0,0,nan
gene_0300,0,528,0.553761,34,246,0.0499503,1,279,0.901107
gene_0301,0,666,0.481878,20,58,0.671397,0,78,0.356363
gene_0302,0,820,0.300948,0,19,nan,0,19,nan
gene_0303,0,528,0.189067,55,37,0.0137711,0,92,0.804828
